Preamble initial power (dB),PRACH config,Root seq index,PRACH Freq Offset,Rach reason,Maching ID,Preamble RA mask,Msg3 size,Radio condn (dB),CRNTI,label
-96,4,666,4,CONNECTION_REQ,0x412c2af551f40128,0xff,6,131,0xe5aa,airbnb
-96,4,666,4,CONNECTION_REQ,0x412c2af551f40128,0xff,6,130,0x8d47,airbnb
-96,4,666,4,CONNECTION_REQ,0x412c2af551f80128,0xff,6,132,0x962c,airbnb
-96,4,666,4,CONNECTION_REQ,0x412c2af551f80137,0xff,6,125,0xab18,Amazon Shopping
-96,4,666,4,CONNECTION_REQ,0x412c2ad513240130,0xff,6,131,0xc856,doordash
-96,4,666,4,CONNECTION_REQ,0x412c2ad513240130,0xff,6,135,0x57ac,doordash
-100,3,372,3,CONNECTION_REQ,0x412c2ad513240130,0xff,6,132,0x8845,doordash
-96,4,666,4,CONNECTION_REQ,0x412c2ad513240130,0xff,6,125,0xee07,doordash
-100,4,666,4,CONNECTION_REQ,0x412c2a0258b80129,0xff,6,130,0x8f1c,Google Maps
-100,4,666,4,CONNECTION_REQ,0x412c2a0258b40129,0xff,6,131,0x91a1,Google Maps
-96,4,666,4,CONNECTION_REQ,0x412c2ad51328012b,0xff,6,131,0x97bd,Macys
-100,3,372,3,CONNECTION_REQ,0x412c2ad51328012b,0xff,6,128,0xe5e3,Macys
-96,4,666,4,CONNECTION_REQ,0x412c2ad51324012b,0xff,6,126,0x4d36,Macys
-96,4,666,4,UL_DATA,0x412c2b7c2fd4012b,0x75,0,130,0xcd58,New York Post
-96,4,666,4,CONNECTION_REQ,0x412c2af551f80137,0xff,6,127,0xeb22,Pinterest
-96,4,666,4,CONNECTION_REQ,0x412c2af551f80137,0xff,6,131,0x6266,Starbucks
-100,3,372,3,CONNECTION_REQ,0x412c2af551f80134,0xff,6,125,0x338c,Twitch
-100,3,372,3,CONNECTION_REQ,0x412c2af551f40138,0xff,6,127,0xab79,Walmart
-98,4,684,4,CONNECTION_REQ,0x412c2a0258b8012a,0xff,6,129,0x962c,Youtube
-100,4,666,4,CONNECTION_REQ,0x412c2a0258b80139,0xff,6,127,0xd0be,Youtube
-98,4,684,4,CONNECTION_REQ,0x412c2a0258b8012a,0xff,6,126,0x1d1a,Youtube
-98,3,372,3,HO,0x412c2a0258b8002a,0x00,0,138,0x3e46,Youtube
-98,4,684,4,CONNECTION_REQ,0x412c2a0258b8012a,0xff,6,130,0x41ac,Youtube
