EPS bearer ID,QCI,label
5,6,airbnb
6,5,airbnb
5,6,airbnb
6,5,airbnb
5,6,airbnb
6,5,airbnb
5,6,airbnb
6,5,airbnb
5,6,Amazon Shopping
6,5,Amazon Shopping
5,6,doordash
6,5,doordash
5,6,doordash
6,5,doordash
5,6,doordash
6,5,doordash
5,6,doordash
6,5,doordash
5,6,doordash
6,5,doordash
5,6,Google Maps
6,5,Google Maps
5,6,Macys
6,5,Macys
5,6,Macys
6,5,Macys
5,6,Macys
6,5,Macys
5,6,Pinterest
6,5,Pinterest
5,6,Starbucks
6,5,Starbucks
5,6,Twitch
6,5,Twitch
5,6,Walmart
6,5,Walmart
5,6,Youtube
6,5,Youtube
5,6,Youtube
6,5,Youtube
5,6,Youtube
6,5,Youtube
5,6,Youtube
6,5,Youtube
