Cell ID,Downlink frequency,Uplink frequency,Downlink bandwidth,Uplink bandwidth,Cell Identity,Band Indicator,label
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,airbnb
349,66586,132122,20 MHz,20 MHz,5914882,66,Amazon Shopping
349,66586,132122,20 MHz,20 MHz,5914882,66,Amazon Shopping
349,66586,132122,20 MHz,20 MHz,5914882,66,doordash
202,977,18977,15 MHz,15 MHz,5914892,2,doordash
349,66586,132122,20 MHz,20 MHz,5914882,66,doordash
349,66586,132122,20 MHz,20 MHz,5914882,66,doordash
349,66586,132122,20 MHz,20 MHz,5914882,66,Google Maps
349,66586,132122,20 MHz,20 MHz,5914882,66,Google Maps
202,977,18977,15 MHz,15 MHz,5914892,2,Macys
349,66586,132122,20 MHz,20 MHz,5914882,66,Macys
349,66586,132122,20 MHz,20 MHz,5914882,66,Macys
349,66586,132122,20 MHz,20 MHz,5914882,66,New York Post
349,66586,132122,20 MHz,20 MHz,5914882,66,Snapchat
349,66586,132122,20 MHz,20 MHz,5914882,66,Starbucks
349,66586,132122,20 MHz,20 MHz,5914882,66,Starbucks
202,977,18977,15 MHz,15 MHz,5914892,2,Twitch
202,977,18977,15 MHz,15 MHz,5914892,2,Walmart
118,977,18977,15 MHz,15 MHz,7636748,2,Youtube
349,66586,132122,20 MHz,20 MHz,5914882,66,Youtube
118,977,18977,15 MHz,15 MHz,7636748,2,Youtube
202,977,18977,15 MHz,15 MHz,5914892,2,Youtube
118,977,18977,15 MHz,15 MHz,7636748,2,Youtube
