log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
53,LTE_RRC_OTA_Packet,2021-11-29 03:15:41.477895,20,14,48,1,349,66586,0,9,0,22,
53,LTE_RRC_OTA_Packet,2021-11-29 03:14:33.811973,20,14,48,1,349,66586,0,9,0,22,
53,LTE_RRC_OTA_Packet,2021-11-29 03:15:31.223321,20,14,48,1,349,66586,0,9,0,22,
38,LTE_RRC_OTA_Packet,2021-11-29 03:13:47.246701,20,14,48,0,349,66586,12777,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 03:13:40.515057,20,14,48,1,349,66586,51159,7,0,2,
37,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.815011,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.858984,20,14,48,0,349,66586,4161,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.861983,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.895075,20,14,48,1,349,66586,36983,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.895075,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.895830,20,14,48,1,349,66586,53368,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.901674,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.910485,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.914019,20,14,48,2,349,66586,53398,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 03:13:41.914019,20,14,48,1,349,66586,0,9,0,3,
43,LTE_RRC_OTA_Packet,2021-11-29 03:14:28.212667,20,14,48,1,349,66586,61941,7,0,12,
33,LTE_RRC_OTA_Packet,2021-11-29 03:14:28.220058,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 03:14:47.255924,20,14,48,0,349,66586,10489,5,0,7,
53,LTE_RRC_OTA_Packet,2021-11-29 03:14:23.428177,20,14,48,1,349,66586,0,9,0,22,
46,LTE_RRC_OTA_Packet,2021-11-29 03:14:17.816362,20,14,48,0,349,66586,12537,5,0,15,
33,LTE_RRC_OTA_Packet,2021-11-29 03:13:11.435183,20,14,48,1,349,66586,53783,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 03:13:19.612081,20,14,48,0,349,66586,1321,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 03:13:20.891866,20,14,48,0,349,66586,3369,5,0,7,
37,LTE_RRC_OTA_Packet,2021-11-29 03:13:20.891866,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 03:13:20.939073,20,14,48,0,349,66586,3457,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 03:13:20.942920,20,14,48,1,349,66586,0,9,0,7,
