log_msg_len,type_id,timestamp,Version,Num SubPkt,PDU Size,Msg
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.967007,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.967899,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:27:12.991813,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:27:13.011942,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.825896,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.827006,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:29:01.981757,1,1,7,
108,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:12.735023,1,1,32,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:26:20.369292,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.752090,1,1,8,
208,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.752980,1,1,132,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.775364,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:26:21.810019,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:32:02.383758,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.384260,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.385833,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.450052,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:00.454287,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:56.806845,1,1,7,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.646313,1,1,8,
224,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.647133,1,1,147,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.668096,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:30:17.705918,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:19.597913,1,1,7,
92,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:19.603147,1,1,13,
84,LTE_PDCP_DL_SRB_Integrity_Data_PDU,2021-11-29 15:28:26.783974,1,1,7,
